"county_index","target_cancer","AGE65","BROAD","CROWD","HCOST","NOHSDP","POV150","REMNRTY","SNGPNT","UNEMP","No_Vehicle_10_Miles","No_Vehicle_1_Mile","No_Vehicle_Half_Mile"
"13253","6","23.1","34.5","4.2","23.9","14.1","32.5","38.2","6.3","5.3","0.17184098980410129","1.9360751517928745","2.428685989231298"
"20107","6.4","22.1","28.1","2.5","26.7","6.3","22","8.1","5.2","4.4","0.25890637945318973","0.9320629660314831","1.1806130903065453"
"13105","6","20.5","32.9","4.2","27.1","20.8","34","37.7","5.3","7.6","0.1537240900525637","3.1587821084994547","3.3720122979272045"
"51187","6.4","16.1","12.4","2.8","22.9","11.7","16.7","14.7","6.1","6","0","1.3359946773120426","1.6872920825016635"
"40145","6.3","16.4","11.6","2.9","19","9","17","30.7","6.2","5.2","0.002736539645618116","0.6923445303413833","0.9878908120681398"
"8049","6.3","18","9.6","2","25.3","5.6","15.3","16.2","3","5","0.0067371825102742035","0.35707067304453277","0.7680388061712592"
"13287","5.9","18","28.8","0.2","28.8","20.3","43.6","46.7","5.5","8.5","0.011198208286674134","1.2206047032474803","1.948488241881299"
"48101","6","17.9","24.9","2.8","17.1","14.6","40.1","37.4","11","3.8","4.119601328903655","4.119601328903655","4.119601328903655"
"28073","6.3","13.9","13.1","2","23.4","10.4","25.6","26.9","8.1","7.1","0.04851054655215782","1.0133314168672967","1.8308239606166228"
"17131","6.4","21.3","14","0.6","18.6","7.5","19.4","5.6","5.9","4.2","0.33467202141900937","1.9410977242302543","2.245345016429354"
"13321","6","19.3","25.6","0.9","25.1","15.1","28.2","32.5","8.6","6.8","0","1.162415240555376","1.7897504497439918"
"48245","5.7","14.3","16.1","3","26.1","15.1","29.1","60.9","10.3","5.6","0.013081066939387093","0.8161792978241825","2.1702679240346767"
"20073","6.4","24.7","26","1.3","18.4","7.6","24.1","8.6","7.5","2.3","0.7624458065480639","1.2258932575870831","1.8089400508297204"
"2170","6.4","12.2","10.6","5.2","26.2","6.3","17.2","22.3","5.8","7.4","0.10225293555817742","0.7899320186527333","1.0539917972919828"
"26149","6.4","17.7","17.3","1.8","21","13.2","22.1","14.3","4.7","5","0","1.6200342605432743","2.22040949506485"
"6029","5.5","10.9","14.2","9.6","34.5","24.1","32.5","67.8","8.8","8.9","0.11183484173404745","0.4057734885920124","1.1069148232973771"
"24013","6.4","16.8","10.2","0.8","18.1","6.2","8.5","12.3","4.1","3.2","0","0.7897854416216928","1.2481003266839783"
"46005","6.2","17.8","20.4","4.7","19.5","14.2","25.5","25.6","4.3","2.3","0.10920795493734912","0.28164156799632145","0.8564202781928957"
"40065","6.1","14.8","15.7","1.2","22.2","13.6","24.2","38.9","6.7","4.3","0.13990773651970054","0.7071012629509188","1.7582999319367767"
"18127","6.5","16.5","11.8","1.3","21.8","5.9","15.8","18.3","6.2","4.4","0","0.43567416926793356","0.8938622271712212"
"39149","6.5","16.5","12.9","1.8","19","10.4","19.3","7.8","5.2","5.2","0","0.8518301195799527","1.564049126924711"
"19041","6.4","20.8","15","0.3","22.4","4.6","19.7","7.3","6.9","4.7","0.017999640007199856","0.7079858402831943","1.9619607607847842"
"27047","6.3","21.9","17.8","1.7","19.9","11.8","21.4","16.4","6.5","4.1","0.03839385698288274","1.462166053431451","2.162853943369061"
"39007","6.4","19.2","17.8","1.5","26.3","13.6","31.5","11.7","5.9","7.6","0.02660177148093047","2.4670679921574035","3.155758298274826"
"28137","6.3","16.3","22.8","4.1","28.8","14.3","26.7","35.3","7.4","7","0.21117496365021118","1.3778300907013779","1.647857093401648"
"37049","6.1","19.4","18.4","2.5","26.1","10.3","24.7","35.1","7.2","5.7","0.010627505917588523","1.0637167286604512","1.511038114100768"
"31107","6.2","24.4","18.4","2","12.5","7.6","19.8","15.3","4.1","4.1","0.9424204114469601","1.5055740719457533","1.7009539133432938"
"39099","6.2","20.8","15.5","1","23.8","8.6","25.8","25.2","7.6","7.9","0","1.7385260213631015","2.7045133843892755"
"34017","5.1","11.9","10.6","7.8","33.5","13.2","22.7","71.8","6.5","5.7","0","0.023649383697060853","0.691350316744079"
"48427","4.8","11.4","35.3","10","24.4","41.2","50","96.8","16.6","12.1","0.07216900669203516","1.4204172680750558","1.9009972444561083"
"6067","5.6","14.1","8.2","5.6","32.4","11.9","21.6","57.1","7.2","6.6","0.0004933788557557578","0.23816102194267222","1.0737333555118875"
"26159","6.4","18.1","14.3","2.6","23.4","11.7","24.4","19.9","6.7","5.2","0","1.1251278554381179","1.629992918775735"
"41047","6.4","15.7","10.7","5","32.1","14.3","24","36.6","6.5","5.7","0","0.29682718378866924","1.1257868615916407"
"42103","6.2","22.2","11.5","0.9","27.3","6.9","16.6","21.3","4.9","8.4","0.006972406700482839","1.1678781223308756","1.2986107479649287"
"42125","6.4","20.5","13.6","0.9","19","6.1","15.2","8.9","4.6","5.1","0.00192474256568184","1.9117505533634875","2.708112789914349"
"55013","6.4","29","18.7","1.9","22.8","7.3","22.5","9.9","3.6","5.4","0.10351297146923724","0.9380863039399625","1.2421556576308468"
"48235","6.1","17.4","40.5","5.8","32.8","11.3","18.1","31.9","7.1","6.9","0.37523452157598497","0.37523452157598497","0.37523452157598497"
"4011","5.7","12.9","10.9","3.7","8.9","12.3","15.8","54.6","7","3.6","0.3911342894393742","1.0430247718383312","1.0667298802892022"
"39079","6.4","17.3","20.9","2.8","22.9","12.6","28.9","4.3","5.9","7.3","0","1.3604213694507148","2.2031602708803613"
"21147","6.4","15.7","33.1","2.1","21.9","22","50.4","11.2","3.2","6.9","0.10379110674095926","2.9061509887468593","3.3322407953676394"
"31163","6.3","27","22.3","0","17.2","8.4","18.1","5","4.6","3.4","0.06345177664974619","0.4441624365482234","0.6345177664974619"
"47135","6.3","20.5","34.2","0.2","15","22.3","29.4","9","1.8","9.1","0.644346178142767","1.831964624131396","1.9330385344283008"
"48195","5.8","16.1","20.4","2.9","21.4","27.3","28.7","50.2","2.6","11.3","0.12471049349723855","0.2850525565651167","0.5522893283449136"
"49025","6.5","22.4","12.9","1.1","21.2","7.3","21.1","9.9","4.8","3.5","0.014035087719298244","0.4771929824561404","0.856140350877193"
"48273","5.2","13","20.1","7.9","30.3","19.4","35.2","80.2","10.1","5.4","0.04366676023829575","1.487788902404791","2.747886840709897"
"33007","6.3","23.8","16.4","0.9","24.4","10.8","21.6","5.6","3.5","4.5","0.07563152321887763","1.5882619875964301","2.598699137800635"
"51177","6.2","14.2","6.8","1.8","20.9","8.4","12","34","5.2","6","0.0008170134888927017","0.5588372264026079","0.9894033350490617"
"18033","6.4","16.1","18.3","1.5","17.6","9","16.8","5.6","5.9","3.9","0","1.482604267816119","1.9254908462212537"
"36079","6.2","17.7","6.9","1.3","23","6.7","9","23.6","4","4.8","0","0.7301173402868318","1.2606559021161368"
"46041","6.3","9.4","34.2","10.7","18.5","16.6","48.2","81.7","10.1","18.8","0.5282022259950953","1.2073193737030747","1.6223354084135069"
"39035","6.2","18.1","16.1","1.2","28.8","9.3","25.3","42","7.8","7.5","0","0.406445635650352","2.488122225850349"
"48499","6.3","26.5","18.7","1.8","20","13.8","22.3","18.6","5","4.6","0.028595939376608523","0.9198360499475742","1.2367743780383185"
